Country,Country_Code,Year,Exports_pct_GDP,FDI_net_inflows_pct_GDP,GDP_current_USD,GDP_growth_annual_pct,GDP_per_capita_current_USD,Imports_pct_GDP,Inflation_consumer_prices_annual_pct,Life_expectancy_years,Unemployment_total_pct,Brent_Oil_Price_USD_per_barrel
Bahrain,BHR,1990,101.627082,1.907788943,4809511005,4.437997176,9342.538914,83.20172272,0.929335437,72.587,,23
Bahrain,BHR,1991,74.75714061,11.80082637,5248911170,11.22999828,10434.1324,84.11065598,0.764419736,72.668,1.047,20
Bahrain,BHR,1992,74.21084388,16.07885314,5402232447,6.689998127,10460.15832,85.08105445,-0.172413793,72.785,0.968,18
Bahrain,BHR,1993,73.76460922,-4.650768788,5913001064,12.87000675,11151.8715,70.99843637,2.538860104,72.939,0.882,19
Bahrain,BHR,1994,71.40648253,3.28947938,6330627926,-0.250001381,11629.35952,65.06698837,0.816910898,73.134,1.007,25
Bahrain,BHR,1995,72.10765646,6.473839058,6651180851,3.929992393,11900.93178,61.97907586,2.704034751,73.361,1.044,20
Bahrain,BHR,1996,77.31669799,29.52007284,6938166755,4.110006317,12091.78022,67.0167525,-0.452227383,73.61,1.177,18
Bahrain,BHR,1997,69.54510878,4.561096662,7219407713,3.092999234,12254.66626,61.12734023,2.43155134,73.872,1.125,25
Bahrain,BHR,1998,56.81654418,2.552219113,7031309043,4.790003593,11625.03438,56.18487478,-0.366533865,74.138,1.114,27
Bahrain,BHR,1999,69.36082764,6.026960183,7528469149,4.299998244,12123.35347,55.37490951,-1.287587972,74.405,1.112,30
Bahrain,BHR,2000,79.18066703,4.011545582,9062898936,5.300069403,14214.48368,56.6284683,-0.704852953,74.673,1.081,35
Bahrain,BHR,2001,73.61076132,0.895243944,8976196809,2.490948753,13573.23399,53.41550496,-1.207571802,74.942,1.118,50
Bahrain,BHR,2002,72.5085663,2.261808944,9593510638,3.348550671,13501.47088,58.62506792,-0.495540139,75.209,1.137,55
Bahrain,BHR,2003,72.063072,4.665543678,11074813830,6.296441291,14486.0269,56.02851016,1.593625498,75.486,1.126,60
Bahrain,BHR,2004,78.60514596,6.580210025,13150159574,6.980961759,15963.94932,62.13216408,2.352941176,75.787,1.064,65
Bahrain,BHR,2005,83.89404821,6.566594458,15968723404,6.768997378,17966.16578,64.4194769,2.586206897,76.125,1.021,70
Bahrain,BHR,2006,84.63894426,15.75086501,18504760638,6.46699952,19267.28262,62.46523681,2.007469655,76.51,1.021,75
Bahrain,BHR,2007,79.67952923,8.08243219,21730000000,8.293961291,20908.40425,58.10552134,3.256666667,76.952,1.006,80
Bahrain,BHR,2008,82.57734838,6.977577827,25710904255,6.24501095,23299.49928,63.30516277,3.526003164,77.457,1.015,85
Bahrain,BHR,2009,68.46559387,1.12105291,22938218085,2.539885702,19465.31407,49.49813154,2.795512836,78.016,1.07,90
Bahrain,BHR,2010,66.70271504,0.581105357,26805984043,4.334298975,21819.32911,48.85877141,1.961884683,78.593,1.13,95
Bahrain,BHR,2011,95.63634876,2.610260386,29914680851,1.928157912,25032.78677,71.89329227,-0.400040697,79.141,1.21,100
Bahrain,BHR,2012,98.26563623,4.832654365,31963404255,3.80302899,26438.67332,80.55838459,2.7573967,79.622,1.2,105
Bahrain,BHR,2013,100.8266516,11.02113061,33823324468,5.292622249,26989.76011,83.76285721,3.300011569,79.998,1.184,80
Bahrain,BHR,2014,92.22553572,4.36728984,34772526596,4.308856927,26451.79656,76.35032242,2.647553212,80.214,1.144,75
Bahrain,BHR,2015,79.34410357,0.199529633,32523297872,2.507872053,23734.05511,68.5719566,1.848627424,80.338,1.164,70
Bahrain,BHR,2016,70.5882907,0.718174283,33884680851,3.814993274,23800.00144,62.2347072,2.786793476,80.407,1.19,65
Bahrain,BHR,2017,72.25386214,3.833008912,37204813830,4.953835341,24784.76935,64.17537767,1.386718306,80.407,1.18,60
Bahrain,BHR,2018,75.71537268,4.180793087,39567978723,2.05258865,26324.40665,68.35999989,2.08766938,80.412,1.188,55
Bahrain,BHR,2019,73.09442399,2.3283798,40446808511,2.052877744,27259.74386,62.32311941,1.005820047,80.471,1.217,50
Bahrain,BHR,2020,70.45443582,2.849732281,35837632979,-5.911362952,24342.84446,65.00654919,-2.317706293,78.683,1.765,45
Bahrain,BHR,2021,86.27421867,4.356625979,40840212766,4.350040917,27147.80839,67.52509781,-0.606319385,78.083,1.548,70
Bahrain,BHR,2022,95.9613654,4.200184563,46458191489,6.180161255,30470.52193,71.17987575,3.625741043,80.992,1.265,75
Bahrain,BHR,2023,87.35114395,15.64287561,46192260638,3.878116148,29290.12842,70.09671073,0.074620678,81.284,1.049,80
Bahrain,BHR,2024,87.67499552,5.736945058,47109734309,2.603796706,29653.56827,70.14349662,0.91963546,,1.084,85
Egypt,EGY,1990,20.35490605,1.707814196,42978914311,5.667029157,735.982935,32.56784969,16.75637471,62.513,,23
Egypt,EGY,1991,27.46666667,0.676690667,37387836491,1.125404595,622.829605,35.37777778,19.74854482,63.059,9.38,20
Egypt,EGY,1992,28.39683681,1.096617326,41855986519,4.472859184,680.7992386,30.91301222,13.63742417,63.585,8.92,18
Egypt,EGY,1993,25.83762887,1.058425258,46578631453,2.9007908,740.3342174,30.09020619,12.08979229,64.147,10.92,19
Egypt,EGY,1994,22.57142857,2.420132571,51897983393,3.97317218,807.3035372,28.05714286,8.154231286,64.663,10.93,25
Egypt,EGY,1995,22.54901961,0.994028431,60159245060,4.642458772,916.3266177,27.69607843,15.7422305,65.214,11.04,20
Egypt,EGY,1996,20.74978204,0.940414996,67629716981,4.988730565,1008.976376,26.19877942,7.187103697,65.733,9,18
Egypt,EGY,1997,18.8416698,1.135375893,78436578171,5.492354743,1146.201721,24.89657766,4.625605788,66.207,8.37,25
Egypt,EGY,1998,16.21433542,1.268437022,84828807556,5.575497461,1212.822598,25.71329158,3.872575464,66.635,8.03,27
Egypt,EGY,1999,15.0520156,1.174392815,90710704807,6.053438785,1268.309492,23.30949285,3.079499126,67.01,7.95,30
Egypt,EGY,2000,16.20111732,1.236997207,99838543960,6.37000383,1366.092744,22.81681858,2.683805353,67.332,8.98,35
Egypt,EGY,2001,17.47978812,0.527384723,96684636119,3.535251974,1295.137418,22.33063842,2.269757205,67.612,9.26,50
Egypt,EGY,2002,18.31617841,0.759753233,85146067416,2.390204026,1116.828846,22.67088942,2.73723855,67.846,10.01,55
Egypt,EGY,2003,21.79640719,0.295683832,80288461538,3.193454737,1031.275563,24.38323353,4.507776363,68.045,10.91,60
Egypt,EGY,2004,28.22996085,1.590836184,78782467532,4.092071611,991.2556891,29.58994436,11.27061933,68.211,10.32,65
Egypt,EGY,2005,30.34354689,5.995515989,89660339660,4.471744472,1105.539207,32.60909935,4.869396969,68.355,11.049,70
Egypt,EGY,2006,29.94981383,9.348567266,1.07426E+11,6.843838194,1298.979002,31.56872268,7.644526445,68.493,10.49,75
Egypt,EGY,2007,30.24973147,8.876336063,1.30438E+11,7.087827427,1547.741707,34.82814178,9.318969058,68.627,8.8,80
Egypt,EGY,2008,33.04299274,5.831412619,1.62818E+11,7.156283566,1896.215943,38.63763261,18.31683168,68.761,8.517,85
Egypt,EGY,2009,24.95682211,3.54835118,1.89147E+11,4.6735998,2161.639646,31.59662253,11.76349544,68.915,9.087,90
Egypt,EGY,2010,21.34924581,2.916016576,2.18984E+11,5.147234858,2455.081946,26.58710426,11.26518827,69.078,8.757,95
Egypt,EGY,2011,20.56742761,-0.204542849,2.3599E+11,1.764571949,2590.643849,24.68820655,10.06492599,69.232,11.849,100
Egypt,EGY,2012,16.39696662,1.002340718,2.79117E+11,2.226199799,2996.067707,24.31480265,7.111729433,69.464,12.597,105
Egypt,EGY,2013,17.01784562,1.453434208,2.88434E+11,2.185466054,3025.525636,23.35519243,9.469719811,69.632,13.154,80
Egypt,EGY,2014,14.24413146,1.509250423,3.05595E+11,2.91591188,3133.391023,22.67605634,10.07021547,69.911,13.105,75
Egypt,EGY,2015,13.18384549,2.102581284,3.29367E+11,4.372019078,3306.981594,21.66209747,10.37049034,70.135,13.052,70
Egypt,EGY,2016,10.34546394,2.438562781,3.32442E+11,4.346643456,3270.628777,19.90108511,13.81360621,70.437,12.45,65
Egypt,EGY,2017,15.01408682,2.983015509,2.48363E+11,4.181221,2395.103333,27.81804754,29.50660839,70.709,11.767,60
Egypt,EGY,2018,17.98465561,3.100400776,2.62589E+11,5.331108619,2484.703156,27.92636406,14.40146578,70.974,9.855,55
Egypt,EGY,2019,16.64403145,2.82732945,3.18679E+11,5.552093072,2962.98892,24.4799857,9.152799593,71.213,7.851,50
Egypt,EGY,2020,12.47277574,1.52462949,3.83818E+11,3.550164838,3511.11381,19.65347983,5.04493289,69.79,7.974,45
Egypt,EGY,2021,10.56115022,1.206178611,4.24672E+11,3.290646012,3827.354154,19.29582327,5.214049405,68.976,7.441,70
Egypt,EGY,2022,15.08702582,2.39118081,4.76748E+11,6.587845609,4233.307837,21.89607906,13.89566098,71.01,6.546,75
Egypt,EGY,2023,19.10609134,2.485463984,3.95926E+11,3.760280523,3456.789685,21.34430943,33.88477631,71.633,6.753,80
Egypt,EGY,2024,16.37624221,11.97193509,3.8906E+11,2.399169268,3338.473714,23.22450988,28.27058993,,6.817,85
Iran,IRN,1990,13.2787418,-0.289993218,1.24813E+11,13.59492644,2137.942227,23.8018259,7.627674938,64.066,,23
Iran,IRN,1991,13.82432029,0.017160742,1.31638E+11,12.71614844,2194.439068,30.36985136,17.12856794,66.233,11.1,20
Iran,IRN,1992,13.16459067,0.007097013,1.19769E+11,3.29798192,1957.485078,27.23333658,25.80772262,66.653,10.653,18
Iran,IRN,1993,25.41011165,0.325601197,63743623232,-1.471011482,1038.109857,20.63075268,21.20263075,67.037,10.573,19
Iran,IRN,1994,28.28619241,0.002783908,71841461173,-1.698286119,1167.762725,13.32294398,31.44702842,67.49,10.458,25
Iran,IRN,1995,21.6762407,0.017631338,96419225744,2.401044552,1550.009596,13.46800421,49.65598585,67.904,9.904,20
Iran,IRN,1996,20.19513024,0.021593979,1.20404E+11,6.350526019,1914.781213,15.02616891,28.93734402,68.328,9.1,18
Iran,IRN,1997,17.27793087,0.046524218,1.13919E+11,1.350399274,1790.066176,15.37162725,17.34922575,68.649,9.68,25
Iran,IRN,1998,12.68338091,0.021763395,1.10277E+11,2.08001178,1709.193341,16.54483873,17.86613421,69.214,10.358,27
Iran,IRN,1999,19.2920232,0.030742623,1.13848E+11,2.002696233,1739.59462,15.59339094,20.07070781,69.686,11.176,30
Iran,IRN,2000,21.46705757,0.035586634,1.09592E+11,5.845527476,1650.013858,19.7901899,14.47675132,70.166,11.698,35
Iran,IRN,2001,19.30332036,0.321660451,1.26879E+11,2.392172712,1881.022666,21.23224612,11.27424713,70.619,12.362,50
Iran,IRN,2002,24.41390215,2.736114981,1.28627E+11,8.07882928,1891.257561,23.7587844,14.33593374,71.112,12.8,55
Iran,IRN,2003,24.62747283,1.894186262,1.51911E+11,8.639298397,2208.996366,26.05163294,16.46801162,70.464,11.529,60
Iran,IRN,2004,25.26692826,1.617696879,1.87755E+11,4.336665979,2672.422665,26.04692907,14.7615087,72.04,10.3,65
Iran,IRN,2005,30.33081919,1.284254301,2.2497E+11,3.189804087,3132.050819,24.10967608,13.43311801,72.446,11.813,70
Iran,IRN,2006,29.86903525,0.87256002,2.65602E+11,4.999795262,3618.916014,23.29832346,10.01589825,72.895,11.519,75
Iran,IRN,2007,28.84361241,0.576946135,3.49737E+11,8.155773524,4687.991663,21.04369452,17.34104046,73.299,10.772,80
Iran,IRN,2008,26.57712745,0.487596567,4.06071E+11,0.250856553,5377.411507,21.65227532,25.41050903,73.683,10.63,85
Iran,IRN,2009,22.71148914,0.720530462,4.14059E+11,1.007385458,5415.522806,20.98809109,13.55155483,74.041,12.113,90
Iran,IRN,2010,24.39965328,0.749168626,4.8707E+11,5.797938302,6291.194437,19.37099045,10.08936293,74.39,13.679,95
Iran,IRN,2011,24.93331313,0.679834575,6.29082E+11,2.645717918,8025.687434,16.28610167,26.29338567,74.721,12.491,100
Iran,IRN,2012,22.4753002,0.723850091,6.44019E+11,-3.747171399,8114.080998,21.61404648,27.25681272,75.039,12.275,105
Iran,IRN,2013,25.18290674,0.609501594,5.004E+11,-1.521979205,6222.741948,21.90381118,36.60303552,75.349,10.595,80
Iran,IRN,2014,22.83067239,0.455453874,4.62285E+11,4.984775067,5672.063729,22.52074775,16.60655324,75.635,10.68,75
Iran,IRN,2015,18.72083451,0.500987695,4.09192E+11,-1.424884939,4952.733555,20.70175415,12.48468156,75.907,11.166,70
Iran,IRN,2016,20.30978161,0.704528359,4.78618E+11,8.815086643,5710.599471,19.56746016,7.24542549,76.155,12.618,65
Iran,IRN,2017,21.83293099,0.983654956,5.1024E+11,3.026854687,6000.933464,21.32276214,8.044924377,76.396,12.232,60
Iran,IRN,2018,29.63969413,0.576106086,4.11903E+11,-3.747960157,4783.010673,26.97565548,18.01411834,76.621,12.195,55
Iran,IRN,2019,22.31470821,0.433347777,3.47988E+11,-2.361435388,3997.493545,26.277063,39.90734557,76.855,10.74,50
Iran,IRN,2020,18.39037486,0.477691709,2.80934E+11,4.441808654,3202.500035,25.49409263,30.59413904,74.141,9.687,45
Iran,IRN,2021,22.01920784,0.349821432,4.07351E+11,4.13089685,4605.148813,20.6531717,43.38901627,73.752,9.282,70
Iran,IRN,2022,25.56661852,0.354893289,4.22662E+11,4.352810875,4721.204371,23.3517323,43.48846417,76.799,9.085,75
Iran,IRN,2023,23.92164755,0.310885408,4.5751E+11,5.332351172,5049.299316,25.47190254,44.57918576,77.654,8.129,80
Iran,IRN,2024,23.5514721,0.304914201,4.75252E+11,3.663120568,5190.16959,28.51065858,32.4558714,,8.146,85
Iraq,IRQ,1990,7.698318329,-0.003774776,1.80408E+11,57.81782835,10261.41577,7.427963488,,57.587,,23
Iraq,IRQ,1991,1.290410727,1.884764296,407796349.7,-64.04710697,22.95213276,2.500730243,180.952381,61.338,8.639,20
Iraq,IRQ,1992,0.582407539,0.01679695,553671957.7,32.5922112,30.25390126,1.338738094,83.61581921,65.344,8.346,18
Iraq,IRQ,1993,0.075548684,0.077814234,1031944881,30.28982949,53.74378423,0.469148,207.6923077,65.31,8.36,19
Iraq,IRQ,1994,0.035565991,-0.000751626,3991349283,3.854532449,198.1821019,0.064016371,448.5,65.027,8.221,25
Iraq,IRQ,1995,0.005376759,,12894029888,2.120021498,619.1355309,0.015622473,387.3108478,64.761,8.431,20
